,Height_min,Height_max,Weight_min,Weight_max,Age_min,Age_max
Aeronautics,,,,,,
Alpine Skiing,152.0,187.0,45.0,90.0,14.0,45.0
Alpinism,,,,,43.0,43.0
Archery,152.0,185.0,42.0,95.0,14.0,63.0
Art Competitions,160.0,160.0,,,17.0,74.0
Athletics,142.0,194.0,35.0,136.0,12.0,48.0
Badminton,150.0,184.0,43.0,90.0,16.0,44.0
Baseball,,,,,,
Basketball,161.0,213.0,50.0,128.0,16.0,37.0
Basque Pelota,,,,,,
Beach Volleyball,163.0,196.0,55.0,81.0,18.0,39.0
Biathlon,150.0,182.0,45.0,72.0,17.0,38.0
Bobsleigh,158.0,194.0,55.0,95.0,19.0,39.0
Boxing,150.0,184.0,50.0,79.0,17.0,36.0
Canoeing,151.0,185.0,48.0,99.0,15.0,47.0
Cricket,,,,,,
Croquet,,,,,33.0,46.0
Cross Country Skiing,150.0,184.0,42.0,77.0,15.0,41.0
Curling,148.0,184.0,45.0,95.0,17.0,48.0
Cycling,149.0,201.0,45.0,92.0,17.0,49.0
Diving,137.0,178.0,28.0,75.0,12.0,36.0
Equestrianism,148.0,185.0,43.0,85.0,16.0,69.0
Fencing,152.0,192.0,44.0,82.0,14.0,51.0
Figure Skating,137.0,180.0,32.0,68.0,11.0,43.0
Football,150.0,189.0,45.0,86.0,16.0,40.0
Freestyle Skiing,150.0,183.0,43.0,82.0,13.0,43.0
Golf,157.0,183.0,48.0,85.0,18.0,46.0
Gymnastics,127.0,179.0,25.0,72.0,11.0,41.0
Handball,153.0,198.0,48.0,105.0,15.0,43.0
Hockey,138.0,190.0,45.0,80.0,15.0,41.0
Ice Hockey,150.0,186.0,47.0,90.0,15.0,41.0
Jeu De Paume,,,,,,
Judo,143.0,193.0,46.0,163.0,14.0,42.0
Lacrosse,,,,,,
Luge,153.0,187.0,48.0,95.0,15.0,48.0
Military Ski Patrol,,,,,,
Modern Pentathlon,155.0,186.0,42.0,80.0,15.0,39.0
Motorboating,,,,,26.0,26.0
Nordic Combined,,,,,,
Polo,,,,,,
Racquets,,,,,,
Rhythmic Gymnastics,142.0,181.0,30.0,64.0,13.0,30.0
Roque,,,,,,
Rowing,140.0,196.0,39.0,97.0,14.0,56.0
Rugby,,,,,,
Rugby Sevens,153.0,185.0,53.0,89.0,18.0,35.0
Sailing,150.0,188.0,48.0,87.0,16.0,49.0
Shooting,146.0,190.0,40.0,117.0,16.0,57.0
Short Track Speed Skating,150.0,182.0,43.0,73.0,13.0,35.0
Skeleton,157.0,180.0,51.0,78.0,18.0,38.0
Ski Jumping,152.0,175.0,43.0,62.0,15.0,30.0
Snowboarding,150.0,183.0,43.0,96.0,14.0,40.0
Softball,150.0,198.0,45.0,109.0,17.0,41.0
Speed Skating,149.0,185.0,46.0,82.0,13.0,41.0
Swimming,131.0,193.0,39.0,85.0,11.0,41.0
Synchronized Swimming,153.0,185.0,39.0,104.0,15.0,40.0
Table Tennis,145.0,181.0,42.0,120.0,15.0,53.0
Taekwondo,150.0,188.0,46.0,88.0,16.0,36.0
Tennis,150.0,191.0,48.0,85.0,13.0,47.0
Trampolining,154.0,172.0,43.0,60.0,18.0,39.0
Triathlon,153.0,180.0,44.0,72.0,18.0,40.0
Tug-Of-War,,,,,,
Volleyball,153.0,204.0,30.0,98.0,15.0,39.0
Water Polo,160.0,192.0,50.0,104.0,16.0,41.0
Weightlifting,141.0,190.0,47.0,167.0,15.0,43.0
Wrestling,147.0,180.0,42.0,80.0,18.0,38.0
