,Height_min,Height_max,Weight_min,Weight_max,Age_min,Age_max
Aeronautics,,,,,26.0,26.0
Alpine Skiing,142.0,200.0,50.0,107.0,14.0,55.0
Alpinism,,,,,22.0,57.0
Archery,157.0,197.0,46.0,130.0,15.0,71.0
Art Competitions,150.0,190.0,59.0,93.0,14.0,97.0
Athletics,148.0,208.0,42.0,165.0,13.0,52.0
Badminton,160.0,201.0,55.0,97.0,18.0,40.0
Baseball,147.0,206.0,38.0,120.0,16.0,44.0
Basketball,163.0,226.0,59.0,156.0,16.0,40.0
Basque Pelota,,,,,26.0,26.0
Beach Volleyball,179.0,212.0,62.0,110.0,20.0,41.0
Biathlon,160.0,200.0,51.0,95.0,17.0,45.0
Bobsleigh,153.0,211.0,55.0,145.0,15.0,54.0
Boxing,127.0,208.0,46.0,140.0,15.0,41.0
Canoeing,158.0,205.0,53.0,115.0,16.0,48.0
Cricket,,,,,21.0,44.0
Croquet,,,,,15.0,58.0
Cross Country Skiing,155.0,200.0,53.0,100.0,16.0,49.0
Curling,152.0,197.0,61.0,105.0,20.0,58.0
Cycling,136.0,201.0,48.0,104.0,14.0,43.0
Diving,148.0,188.0,37.0,91.0,13.0,51.0
Equestrianism,154.0,197.0,50.0,100.0,18.0,72.0
Fencing,153.0,208.0,48.0,108.0,15.0,63.0
Figure Skating,156.0,193.0,47.0,90.0,12.0,52.0
Football,140.0,200.0,28.0,100.0,15.0,40.0
Freestyle Skiing,149.0,197.0,47.0,108.0,15.0,44.0
Golf,165.0,196.0,63.0,104.0,15.0,50.0
Gymnastics,150.0,188.0,46.0,102.0,10.0,49.0
Handball,140.0,214.0,62.0,132.0,14.0,42.0
Hockey,150.0,200.0,48.0,105.0,16.0,44.0
Ice Hockey,155.0,206.0,52.0,116.0,16.0,48.0
Jeu De Paume,176.0,181.0,,,19.0,43.0
Judo,145.0,213.0,52.0,214.0,16.0,43.0
Lacrosse,168.0,180.0,60.0,98.0,14.0,37.0
Luge,157.0,199.0,52.0,112.0,16.0,53.0
Military Ski Patrol,,,,,20.0,32.0
Modern Pentathlon,152.0,198.0,56.0,91.0,16.0,53.0
Motorboating,181.0,181.0,77.0,77.0,26.0,54.0
Nordic Combined,160.0,193.0,53.0,86.0,15.0,39.0
Polo,169.0,178.0,,,21.0,53.0
Racquets,176.0,176.0,,,19.0,45.0
Rhythmic Gymnastics,,,,,,
Roque,,,,,37.0,64.0
Rowing,132.0,209.0,37.0,137.0,11.0,60.0
Rugby,164.0,191.0,68.0,99.0,18.0,39.0
Rugby Sevens,169.0,198.0,65.0,113.0,19.0,36.0
Sailing,151.0,213.0,50.0,130.0,13.0,71.0
Shooting,132.0,213.0,41.0,140.0,15.0,72.0
Short Track Speed Skating,162.0,191.0,51.0,86.0,15.0,34.0
Skeleton,157.0,198.0,65.0,127.0,18.0,53.0
Ski Jumping,156.0,200.0,50.0,85.0,14.0,43.0
Snowboarding,157.0,194.0,50.0,102.0,15.0,38.0
Softball,,,,,,
Speed Skating,158.0,203.0,50.0,100.0,14.0,52.0
Swimming,147.0,209.0,45.0,114.0,13.0,46.0
Synchronized Swimming,,,,,,
Table Tennis,150.0,198.0,50.0,99.0,15.0,54.0
Taekwondo,160.0,207.0,54.0,110.0,16.0,37.0
Tennis,162.0,208.0,59.0,111.0,15.0,44.0
Trampolining,162.0,185.0,57.0,84.0,18.0,34.0
Triathlon,164.0,196.0,54.0,82.0,18.0,42.0
Tug-Of-War,170.0,195.0,75.0,118.0,17.0,45.0
Volleyball,170.0,219.0,56.0,120.0,17.0,41.0
Water Polo,154.0,206.0,61.0,125.0,14.0,45.0
Weightlifting,140.0,205.0,50.0,176.5,15.0,45.0
Wrestling,137.0,214.0,47.0,190.0,15.0,50.0
